close,forward_return_1800s,forward_return_180s,forward_return_300s,forward_return_600s,forward_return_60s,forward_return_900s,futures_book_imbalance_10_mean,futures_book_imbalance_1_mean,futures_book_imbalance_20_mean,futures_book_imbalance_5_mean,futures_book_valid_seconds,futures_delta_qty,futures_delta_ratio,futures_microprice_mean,futures_spread_bps_mean,futures_total_qty,high,low,open,symbol,three_minute_epoch,three_minute_utc,trade_count
77178.4,0.0014511832326142837,0.000234521575985136,,,,0.00035372591294979827,0.34315193029373825,0.39258677643282724,0.31966212740856914,0.3560078957737058,0,0.6259999999999997,0.058923192771084314,77179.26962933883,0.01295685044898619,10.623999999999999,77179.7,77178.4,77179.7,B-BTC_USDT,1789193520,2026-09-12T06:12:00+00:00,208
77196.5,,0.00012047178304719353,,,,0.0006787872507172388,0.438327984775886,0.45630609489796,0.1847819739359359,0.4505799383164992,0,10.519999999999996,0.5312058170066654,77189.04781530476,0.012955209766221625,19.80399999999999,77196.6,77178.4,77178.5,B-BTC_USDT,1789193700,2026-09-12T06:15:00+00:00,350
77205.8,,0.0,,,,0.00026034313484202265,0.5364907056208068,0.5311141225289018,0.5034808022967892,0.5303093207147646,0,28.259999999999998,0.7799735040847869,77203.45155570614,0.012952793239221133,36.232,77205.9,77196.5,77196.5,B-BTC_USDT,1789193880,2026-09-12T06:18:00+00:00,303
77205.8,,-1.295239476895027e-06,,,,0.0004779433669490629,0.3385228629963039,0.4015479016839633,0.4666684290261018,0.34343804864730737,0,-8.229000000000001,-0.582914216901608,77205.83674406174,0.012952391971696014,14.116999999999999,77205.9,77205.7,77205.8,B-BTC_USDT,1789194060,2026-09-12T06:21:00+00:00,212
77205.7,,0.0,,,,0.0006981349822616778,0.1989414185942465,0.2155946393172373,0.23955147697349655,0.19086020343545962,0,-0.9829999999999988,-0.11833393523534358,77205.76077973197,0.012952403157254579,8.306999999999997,77205.8,77205.7,77205.8,B-BTC_USDT,1789194240,2026-09-12T06:24:00+00:00,208
77205.7,,0.0005595441787329403,,,,0.0010970692578398111,0.516464269742477,0.509213752425744,0.5140643301441314,0.5069201956945171,0,0.6950000000000021,0.04569662699717287,77205.77546068763,0.012952403157254579,15.208999999999998,77205.8,77205.7,77205.7,B-BTC_USDT,1789194420,2026-09-12T06:27:00+00:00,204
77248.9,,-0.0002977388674789694,,,,,0.32303715589384563,0.40512530864006724,0.25429571796211836,0.41217884397479504,0,46.41500000000001,0.5997622401116438,77245.05120864639,0.012945816675803495,77.38900000000002,77249.0,77205.8,77205.8,B-BTC_USDT,1789194600,2026-09-12T06:30:00+00:00,630
77225.9,,0.00021754359612513596,,,,,0.40466071441210527,0.4182203199099672,0.3575070803634419,0.42072885005468713,0,-19.674999999999994,-0.32239828272731735,77240.38424434932,0.012946599261000174,61.026999999999994,77259.7,77221.8,77249.0,B-BTC_USDT,1789194780,2026-09-12T06:33:00+00:00,554
77242.7,,0.0002187909019235601,,,,,0.3253740695016735,0.2993440862257641,0.39492367948273976,0.30768442428533943,0,17.890999999999995,0.7969620027618156,77236.23163387096,0.012947294060720487,22.448999999999995,77242.8,77225.8,77225.9,B-BTC_USDT,1789194960,2026-09-12T06:36:00+00:00,323
77259.6,,0.00039865595990651315,,,,,0.23141825545351066,0.27095090039552006,0.31514211949054255,0.25450660236468653,0,10.352,0.5048278552618747,77256.20521421169,0.012943946435568043,20.505999999999997,77259.7,77242.7,77242.7,B-BTC_USDT,1789195140,2026-09-12T06:39:00+00:00,357
77290.4,,,,,,,-0.1715176550893393,-0.14373218785367736,-0.19751081308659038,-0.18379509165376412,0,30.135,0.7134064060983405,77274.0628133906,0.012940951997565694,42.241,77290.4,77258.0,77259.6,B-BTC_USDT,1789195320,2026-09-12T06:42:00+00:00,257
0.08439,-0.00047398980921919964,0.0001184974523047444,,,,-0.00023699490460959982,-0.05783669117489245,-0.38098636333159547,-0.05851186438177458,0.0011530545106168456,0,170035.0,0.1877476793090541,0.08439142840151666,1.1849277272654302,905657.0,0.08441,0.08438,0.08438,B-DOGE_USDT,1789191720,2026-09-12T05:42:00+00:00,428
0.0844,0.00035545023696692546,0.00023696682464446894,,,,-0.0007109004739337399,-0.039324738408945834,0.05012195994187363,-0.052324690036002174,0.0407554107774779,0,-86269.0,-0.048022707372046974,0.08439691727646638,1.1848809273229948,1796421.0,0.08442,0.08438,0.08439,B-DOGE_USDT,1789191900,2026-09-12T05:45:00+00:00,454
